ReactionSMILES	reaction name	reactionSMARTS	reacting substructures	product substructures
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C([C@H](O)CO)[C@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)CO>>O=CC(O)(CO)CO	aldol_addition_fast_pt_C=O-t2-@	[$(C(-,:CO)=C-,:O)&!$(C(-,:C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(CO)=C(O))!$(C(C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t3-@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t3-@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)CO>>O=C[C@](O)(CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t3-@@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t3-@@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C[C@](O)(CO)[C@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
O=CCO.OC=C(O)CO>>O=C[C@](O)(CO)[C@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=C(O)CO>>O=C[C@](O)(CO)[C@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=C(O)CO>>O=C[C@](O)(CO)[C@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C(CO)CO.OC=C(O)CO>>O=C[C@](O)(CO)C(O)(CO)CO	aldol_sugar_addition_fast_pt-t1-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=CCO.OC=C(O)CO>>O=C(CO)[C@@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=C(O)CO>>O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=C(O)CO>>O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C(CO)CO.OC=CO>>O=C[C@@H](O)C(O)(CO)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C(CO)CO.OC=C(O)CO>>O=C(CO)[C@@H](O)C(O)(CO)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=CCO.OC=C(O)CO>>O=C[C@](O)(CO)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=C(O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=C(O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t1-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=CCO.OC=C(O)CO>>O=C(CO)[C@@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
